_id,CODE_REF,CODE_STA,STA_TH,PROVINCE,AMPHOE,TAMBON,LAT,LONG,X,Y,YEAR,MONTH_EN,MONTH,DATA SOURCE,TEMP,TEMP_MIN,TEMP_MAX,HUMIDITY,WIND_SPEED,RAINFALL,RAINDAY,DEW_POINT,FEELS_LIKE,PRESSURE,CLOUDS,PM10,PM25
33,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Jan,ม.ค., https://openweathermap.org ,,10.48,33.90,79.62,1.04,26.43,1,,,,,,
34,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Jun,มิ.ย., https://openweathermap.org ,,20.56,35.10,86.81,1.73,255.25,18,,,,,,
35,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Mar,มี.ค., https://openweathermap.org ,,11.24,38.20,72.85,1.40,187.30,8,,,,,,
36,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Aug,ส.ค., https://openweathermap.org ,,20.06,34.90,87.42,1.41,322.05,22,,,,,,
37,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Apr,เม.ย., https://openweathermap.org ,,16.65,40.60,65.27,1.65,62.61,8,,,,,,
38,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Jul,ก.ค., https://openweathermap.org ,,19.67,33.80,85.94,1.84,261.93,18,,,,,,
39,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Feb,ก.พ., https://openweathermap.org ,,10.88,37.00,68.65,1.21,0.00,0,,,,,,
40,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Sep,ก.ย., https://openweathermap.org ,,19.91,35.00,84.18,1.08,121.05,9,,,,,,
41,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Oct,ต.ค., https://openweathermap.org ,,17.43,34.90,82.88,0.92,62.04,7,,,,,,
42,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Dec,ธ.ค., https://openweathermap.org ,,10.38,33.80,81.75,0.88,4.50,2,,,,,,
43,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,May,พ.ค., https://openweathermap.org ,,19.48,37.20,78.71,1.45,236.67,19,,,,,,
44,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Nov,พ.ย., https://openweathermap.org ,,17.35,34.80,83.13,0.72,31.02,4,,,,,,
45,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Jan,ม.ค., https://openweathermap.org ,,7.21,34.00,76.08,1.06,3.75,2,,,,,,
46,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Jun,มิ.ย., https://openweathermap.org ,,19.72,34.50,86.63,2.01,171.87,18,,,,,,
47,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Mar,มี.ค., https://openweathermap.org ,,11.84,39.00,60.39,1.41,5.97,2,,,,,,
48,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2012,Aug,ส.ค., https://openweathermap.org ,,19.99,32.90,87.37,1.68,200.79,21,,,,,,
49,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Apr,เม.ย., https://openweathermap.org ,,18.54,37.00,77.19,2.95,35.19,,,,,,,
50,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Jul,ก.ค., https://openweathermap.org ,,20.65,34.00,87.67,4.00,165.18,,,,,,,
51,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Feb,ก.พ., https://openweathermap.org ,,13.89,37.50,68.11,3.08,9.90,,,,,,,
52,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Sep,ก.ย., https://openweathermap.org ,,21.70,32.70,87.85,3.82,118.35,,,,,,,
53,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Oct,ต.ค., https://openweathermap.org ,,19.90,34.00,83.96,4.36,16.14,,,,,,,
54,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Dec,ธ.ค., https://openweathermap.org ,,12.24,34.00,72.55,5.28,0.00,,,,,,,
55,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,May,พ.ค., https://openweathermap.org ,,20.34,36.50,84.50,3.53,100.55,,,,,,,
56,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Nov,พ.ย., https://openweathermap.org ,,16.33,34.60,76.14,5.00,0.00,,,,,,,
57,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Jan,ม.ค., https://openweathermap.org ,,13.10,34.30,74.56,4.09,26.73,,,,,,,
58,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Jun,มิ.ย., https://openweathermap.org ,,21.21,35.30,86.73,4.45,225.59,,,,,,,
59,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Mar,มี.ค., https://openweathermap.org ,,14.23,37.50,75.06,5.14,14.64,,,,,,,
60,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2011,Aug,ส.ค., https://openweathermap.org ,,21.11,33.20,88.00,4.03,89.08,,,,,,,
61,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Apr,เม.ย., https://openweathermap.org ,,19.70,38.70,71.08,4.18,0.67,,,,,,,
62,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Jul,ก.ค., https://openweathermap.org ,,20.59,33.70,87.22,3.46,144.65,,,,,,,
63,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Feb,ก.พ., https://openweathermap.org ,,15.76,38.00,68.83,2.62,6.00,,,,,,,
64,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Sep,ก.ย., https://openweathermap.org ,,21.45,34.50,87.99,3.11,145.96,,,,,,,
65,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Oct,ต.ค., https://openweathermap.org ,,19.62,35.50,82.43,3.69,78.80,,,,,,,
66,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Dec,ธ.ค., https://openweathermap.org ,,16.89,35.20,76.54,5.08,0.00,,,,,,,
67,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,May,พ.ค., https://openweathermap.org ,,21.95,38.80,81.41,3.56,73.90,,,,,,,
68,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Nov,พ.ย., https://openweathermap.org ,,20.31,35.00,81.95,3.96,16.50,,,,,,,
69,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Jan,ม.ค., https://openweathermap.org ,,14.58,36.30,70.66,3.67,4.95,,,,,,,
70,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Jun,มิ.ย., https://openweathermap.org ,,21.02,33.50,87.58,3.96,97.05,,,,,,,
71,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Mar,มี.ค., https://openweathermap.org ,,15.82,38.00,65.80,3.65,11.53,,,,,,,
72,KAN,,สถานีตรวจวัดสภาพอากาศห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,14.69943187,98.52521543,448886,1625136,2012,Aug,ส.ค., https://openweathermap.org ,,21.11,33.00,89.02,3.62,199.44,,,,,,,
73,KLN,,สถานีตรวจวัดสภาพอากาศคลองลาน,กำแพงเพชร,ขาณุวรลักษณบุรี,ปางมะค่า,15.96638381,99.42341729,545310,1765263,2009,Apr,เม.ย., https://openweathermap.org ,,19.50,40.48,68.31,1.22,66.39,8,,,,,,
74,KLN,,สถานีตรวจวัดสภาพอากาศคลองลาน,กำแพงเพชร,ขาณุวรลักษณบุรี,ปางมะค่า,15.96638381,99.42341729,545310,1765263,2009,Jul,ก.ค., https://openweathermap.org ,,22.10,35.60,83.57,1.19,145.29,15,,,,,,
75,KLN,,สถานีตรวจวัดสภาพอากาศคลองลาน,กำแพงเพชร,ขาณุวรลักษณบุรี,ปางมะค่า,15.96638381,99.42341729,545310,1765263,2009,Feb,ก.พ., https://openweathermap.org ,,11.50,38.55,68.85,1.26,0.00,0,,,,,,
76,KLN,,สถานีตรวจวัดสภาพอากาศคลองลาน,กำแพงเพชร,ขาณุวรลักษณบุรี,ปางมะค่า,15.96638381,99.42341729,545310,1765263,2009,Sep,ก.ย., https://openweathermap.org ,,22.20,35.64,83.26,1.03,217.80,16,,,,,,
77,KLN,,สถานีตรวจวัดสภาพอากาศคลองลาน,กำแพงเพชร,ขาณุวรลักษณบุรี,ปางมะค่า,15.96638381,99.42341729,545310,1765263,2009,Oct,ต.ค., https://openweathermap.org ,,18.50,34.65,84.69,0.94,94.83,12,,,,,,
78,KLN,,สถานีตรวจวัดสภาพอากาศคลองลาน,กำแพงเพชร,ขาณุวรลักษณบุรี,ปางมะค่า,15.96638381,99.42341729,545310,1765263,2009,Dec,ธ.ค., https://openweathermap.org ,,11.30,34.61,72.85,1.15,0.00,0,,,,,,
79,KLN,,สถานีตรวจวัดสภาพอากาศคลองลาน,กำแพงเพชร,ขาณุวรลักษณบุรี,ปางมะค่า,15.96638381,99.42341729,545310,1765263,2009,May,พ.ค., https://openweathermap.org ,,21.50,38.42,78.59,0.99,136.20,14,,,,,,
80,KLN,,สถานีตรวจวัดสภาพอากาศคลองลาน,กำแพงเพชร,ขาณุวรลักษณบุรี,ปางมะค่า,15.96638381,99.42341729,545310,1765263,2009,Nov,พ.ย., https://openweathermap.org ,,11.00,36.00,74.94,1.19,35.73,4,,,,,,
81,KLN,,สถานีตรวจวัดสภาพอากาศคลองลาน,กำแพงเพชร,ขาณุวรลักษณบุรี,ปางมะค่า,15.96638381,99.42341729,545310,1765263,2009,Jan,ม.ค., https://openweathermap.org ,,7.00,34.10,71.25,1.22,0.00,0,,,,,,
